"Country","Year",">Scope<","consumer price ($)",">Value Footnotes<"
"Afghanistan","1991","Kabul","143.82661567","1,2"
"Afghanistan","1990","Kabul","100","1,2"
"Afghanistan","1989","Kabul","67.863096989","1,2"
"Afghanistan","1988","Kabul","39.580268706","1,2"
"Afghanistan","1987","Kabul","31.038540747","1,2"
"Afghanistan","1986","Kabul","26.213592233","1,2"
"Afghanistan","1985","Kabul","26.772580171","1,2"
"Afghanistan","1984","Kabul","24.624889673","1,2"
"Afghanistan","1983","Kabul","20.456997156","1,2"
"Afghanistan","1982","Kabul","17.652250662","1,2"
"Afghanistan","1981","Kabul","14.935765421","1,2"
"Afghanistan","1980","Kabul","12.21928018","1,2"
"Afghanistan","1979","Kabul","10.77767971","1,2,3"
"Afghanistan","1978","Kabul","9.7336862848","1,2"
"Afghanistan","1977","Kabul","9.2715701691","1,2"
"Afghanistan","1976","Kabul","8.3063909401","1,2"
"Afghanistan","1975","Kabul","8.1777003763","1,2"
"Afghanistan","1974","Kabul","7.6804868341","1,2"
"Afghanistan","1973","Kabul","6.7445554605","1,2"
"Afghanistan","1972","Kabul","7.4582031328","1,2"
"Afghanistan","1971","Kabul","8.5228250702","1,2"
"Afghanistan","1970","Kabul","6.7855024581","1,2"
"Afghanistan","1969","Kabul","5.738429234","1,2"
"Albania","2008","Not applicable","127.06137302","4"
"Albania","2007","Not applicable","122.95242233",""
"Albania","2006","Not applicable","119.45470345",""
"Albania","2005","Not applicable","116.6847708",""
"Albania","2004","Not applicable","114.001738",""
"Albania","2003","Not applicable","110.81903107",""
"Albania","2002","Not applicable","108.39669781",""
"Albania","2001","Not applicable","103.12839453",""
"Albania","2000","Not applicable","100","4"
"Albania","1999","Not applicable","100",""
"Albania","1998","Not applicable","99.587723317",""
"Albania","1997","Not applicable","82.546953733",""
"Albania","1996","Not applicable","61.978928081",""
"Albania","1995","Not applicable","55.016032982",""
"Albania","1994","Not applicable","51.030691709","4"
"Albania","1993","Not applicable","41.643979693",""
"Albania","1992","Not applicable","22.508744286",""
"Albania","1991","Not applicable","10.400803053","5"
"Albania","1990","Not applicable","5.0959348621","5"
"Albania","1989","Not applicable","4.9736324254","5"
"Algeria","2008","Not applicable","128.93351949",""
"Algeria","2007","Not applicable","123.47581713",""
"Algeria","2006","Not applicable","118.84688361",""
"Algeria","2005","Not applicable","116.74005656",""
"Algeria","2004","Not applicable","114.52582966",""
"Algeria","2003","Not applicable","109.51204668",""
"Algeria","2002","Not applicable","105.84255182",""
"Algeria","2001","Not applicable","103.51376508",""
"Algeria","2000","Not applicable","100",""
"Algeria","1999","Not applicable","100.63365911",""
"Algeria","1998","Not applicable","98.575161995",""
"Algeria","1997","Not applicable","92.793470089",""
"Algeria","1996","Not applicable","87.495077507",""
"Algeria","1995","Not applicable","72.709698206",""
"Algeria","1994","Not applicable","56.617620735",""
"Algeria","1993","Not applicable","42.995739806",""
"Algeria","1992","Not applicable","35.352450507",""
"Algeria","1991","Not applicable","26.99316221",""
"Algeria","1990","Not applicable","21.515769878",""
"Algeria","1990","Alger","100","1"
"Algeria","1989","Alger","85.748909355","1"
"Algeria","1989","Not applicable","17.89997494",""
"Algeria","1988","Alger","78.429471643","1"
"Algeria","1987","Alger","74.066892874","1"
"Algeria","1986","Alger","68.928744547","1"
"Algeria","1985","Alger","61.366941348","1"
"Algeria","1984","Alger","55.550169656","1"
"Algeria","1983","Alger","51.381483277","1"
"Algeria","1982","Alger","48.473097431","1,4"
"Algeria","1981","Alger","45.414597081","1"
"Algeria","1980","Alger","39.677842372","1"
"Algeria","1979","Alger","36.206031164","1"
"Algeria","1978","Alger","32.486233442","1"
"Algeria","1977","Alger","27.642230186","1"
"Algeria","1976","Alger","24.682924442","1"
"Algeria","1975","Alger","22.665967455","1"
"Algeria","1974","Alger","20.830867245","1"
"Algeria","1973","Alger","19.905050923","1"
"Algeria","1972","Alger","18.747780521","1"
"Algeria","1971","Alger","18.086483148","1"
"Algeria","1970","Alger","17.623574987","1"
"Algeria","1969","Alger","16.532434322","1"
"American Samoa","2006","Not applicable","125.71976967","2"
"American Samoa","2005","Not applicable","122.07293666","2"
"American Samoa","2004","Not applicable","116.12284069","2"
"American Samoa","2003","Not applicable","108.4452975","2"
"American Samoa","2002","Not applicable","103.35892514","2"
"American Samoa","2001","Not applicable","101.24760077","2"
"American Samoa","2000","Not applicable","100","2"
"American Samoa","1999","Not applicable","98.080614203","2"
"American Samoa","1998","Not applicable","97.216890595","2,4"
"American Samoa","1997","Not applicable","95.540308327","2,6"
"American Samoa","1996","Not applicable","93.517966971","2"
"American Samoa","1995","Not applicable","90.086114972","2"
"American Samoa","1994","Not applicable","88.186339758","2"
"American Samoa","1993","Not applicable","86.715546044","2"
"American Samoa","1992","Not applicable","86.347847616","2"
"American Samoa","1991","Not applicable","82.915995617","2"
"American Samoa","1990","Not applicable","79.422860547","2"
"American Samoa","1989","Not applicable","73.723534906","2"
"American Samoa","1988","Not applicable","70.659381335","2"
"American Samoa","1987","Not applicable","67.166246265","2"
"American Samoa","1986","Not applicable","64.34722498","2"
"American Samoa","1985","Not applicable","63.550545052","2"
"American Samoa","1984","Not applicable","62.937714338","2"
"American Samoa","1983","Not applicable","61.773335981","2"
"American Samoa","1982","Pago-Pago","100","7"
"American Samoa","1981","Pago-Pago","94.363636364","7"
"American Samoa","1980","Pago-Pago","87.136363636","7"
"American Samoa","1979","Pago-Pago","74.545454545","7"
"American Samoa","1978","Pago-Pago","63.409090909","7"
"American Samoa","1977","Pago-Pago","60","7"
"American Samoa","1976","Pago-Pago","57.227272727","7"
"American Samoa","1975","Pago-Pago","56.863636364","7"
"American Samoa","1974","Pago-Pago","47.727272727","7"
"Andorra","2008","Not applicable","125.26","8,9"
"Andorra","2007","Not applicable","122.82","8,9"
"Andorra","2006","Not applicable","118.24","8,9"
"Andorra","2005","Not applicable","114.57","8,9"
"Andorra","2004","Not applicable","111.13","8,9"
"Andorra","2003","Not applicable","107.53","8,9"
"Andorra","2002","Not applicable","104.52","8,9"
"Andorra","2001","Not applicable","100","8,9"
"Angola","2008","Luanda","2640.5343073",""
"Angola","2007","Luanda","2347.6799157","4"
"Angola","2006","Luanda","2091.6242318",""
"Angola","2005","Luanda","1845.9701493",""
"Angola","2004","Luanda","1501.2115891",""
"Angola","2003","Luanda","1045.8296752",""
"Angola","2002","Luanda","527.5856014","4"
"Angola","2001","Luanda","252.56905454",""
"Angola","2000","Luanda","100.00000243",""
"Angola","1999","Luanda","23.530078904",""
"Angola","1998","Luanda","6.7576077446",""
"Angola","1997","Luanda","3.2601290385",""
"Angola","1996","Luanda","1.0213909556",""
"Angola","1995","Luanda","0.0240597898","4"
"Angola","1994","Luanda","0.0008681379",""
"Angola","1993","Luanda","8.26999E-05",""
"Angola","1992","Luanda","5.5895647E-06",""
"Angola","1991","Luanda","1.4006334E-06",""
"Anguilla","2008","Not applicable","137.85686351","9"
"Anguilla","2007","Not applicable","129.05748925","9"
"Anguilla","2006","Not applicable","122.70238561","9"
"Anguilla","2005","Not applicable","113.51192804","9"
"Anguilla","2004","Not applicable","108.31052014","9"
"Anguilla","2003","Not applicable","103.76417677","9"
"Anguilla","2002","Not applicable","100.53773954","9"
"Anguilla","2001","Not applicable","100","9,10"
"Anguilla","2000","Not applicable","100","9"
"Anguilla","1999","Not applicable","92.471368294","9"
"Anguilla","1998","Not applicable","91.856540084","9"
"Anguilla","1997","Not applicable","89.596142254","9"
"Anguilla","1996","Not applicable","89.053646775","9"
"Anguilla","1995","Not applicable","86.172393008","9"
"Anguilla","1994","Not applicable","84.798071127","9"
"Anguilla","1993","Not applicable","81.512959614","9"
"Anguilla","1992","Not applicable","79.047619048","9"
"Anguilla","1991","Not applicable","76.763110307","9"
"Anguilla","1990","Not applicable","73.375527426","9"
"Anguilla","1989","Not applicable","69.65641953","9"
"Anguilla","1988","Not applicable","66.383363472","9"
"Anguilla","1987","Not applicable","63.51416516","9"
"Anguilla","1986","Not applicable","61.928872815","9"
"Anguilla","1985","Not applicable","60.524412297","9"
"Antigua and Barbuda","2001","Not applicable","101.48594719","11"
"Antigua and Barbuda","2000","Not applicable","100","11"
"Antigua and Barbuda","1999","Not applicable","99.295236478","11"
"Antigua and Barbuda","1998","Not applicable","98.191389997","11"
"Antigua and Barbuda","1997","Not applicable","94.973252951","11"
"Antigua and Barbuda","1996","Not applicable","94.735501401","11"
"Antigua and Barbuda","1995","Not applicable","91.933429566","11,12"
"Antigua and Barbuda","1994","Not applicable","89.683280971","11"
"Antigua and Barbuda","1993","Not applicable","84.911267725","11,13"
"Antigua and Barbuda","1991","Not applicable","105.69444444","11"
